"327","11","Jogeshwari"
"328","11","Juhu"
"329","11","Kandivali East"
"330","11","Kandivali West"
"331","11","Khar"
"332","11","Malad East"
"333","11","Malad West"
"334","11","Marve"
"335","11","Mira Road"
"336","11","Oshiwara"
"337","11","Santacruz East"
"338","11","Santacruz West"
"339","11","Vasai"
"340","11","Versova"
"341","11","Vile Parle East"
"342","11","Vile Parle West"
"343","12","Bhandup"
"344","12","Chandivali"
"345","12","Chembur"
"346","12","Ghatkopar East"
"347","12","Ghatkopar West"
"348","12","Kurla"
"349","12","Mahakali"
"350","12","Marol"
"351","12","Matunga"
"352","12","Matunga West"
"353","12","Mulund East"
"354","12","Mulund West"
"355","12","Powai"
"356","12","Sakinaka"
"357","12","Sion"
"358","12","Trombay"
"359","12","Vikhroli"
"360","12","Wadala"
"361","13","Airoli"
"362","13","CBD-Belapur"
"363","13","Ghansoli"
"364","13","Kharghar"
"365","13","Kopar Khairane"
"366","13","Nerul"
"367","13","Palm Beach Road"
"368","13","Panvel"
"369","13","Sanpada"
"370","13","Seawoods"
"371","13","Turbhe"
"372","13","Vashi"
"373","14","Dombivali"
"374","14","Kalwa"
"375","14","Kalyan"
"376","14","Thane Area"
"377","14","Ulhasnagar"
"378","15","MG Road"
"379","15","Lavelle Road"
"380","15","Richmond Road"
"381","15","Residency Road"
"382","15","Infantary Road"
"383","15","Brigade Road"
"384","15","Ulsoor"
"385","15","Cunningham Road"
"386","15","Shanti Nagar"
"387","15","Commercial Street"
"388","15","Richmond Town"
"389","15","Shivaji Nagar"
"390","15","Church Street"
"391","16","BTM Layout"
"392","16","Jayanagar"
"393","16","JP Nagar"
"394","16","Koramangala"
"395","16","Bellandur"
"396","16","Sarjapur Road"
"397","16","Bannerghatta Road"
"398","16","Basavanagudi"
"399","16","HSR Layout"
"400","16","Banashankari"
"401","16","Electronic City"
"402","16","Ashok Nagar"
"403","16","Doddakallasandra"
"404","16","HanumanthaNagar"
"405","16","Kasturba Road"
"406","16","Magrath Road"
"407","16","Nagrathpet"
"408","17","Indiranagar"
"409","17","Marathahalli"
"410","17","Domlur"
"411","17","Whitefield"
"412","17","Old Madras Road"
"413","17","Old Airport Road"
"414","17","Jeevan Bhima Nagar"
"415","17","Brookefields"
"416","17","Kadugodi"
"417","17","Vimanapura"
"418","17","Dooravani Nagar"
"419","17","Jayamahal Road"
"420","17","Mahadevapura"
"421","17","Byatarayanapura"
"422","17","Krishnaraja Puram"
"423","17","Thippasandra"
"424","17","Varthur"
"425","17","Ramamurthy Nagar"
"426","18","Sanjay Nagar"
"427","18","Frazer Town"
"428","18","Kalyan Nagar"
"429","18","Kammanahalli"
"430","18","New BEL Road"
"431","18","Banaswadi"
"432","18","Nagawara"
"433","18","Hebbal"
"434","18","RT Nagar"
"435","18","Yelahanka"
"436","18","Sahakara Nagar"
"437","18","Devanahalli"
"438","18","Hennur"
"439","18","HBR layout"
"440","18","Kasturi Nagar"
"441","18","Mathikere"
"442","18","Nandhini Layout"
"443","18","Ganga Nagar"
"444","18","Jalahalli"
"445","18","Sadashiva Nagar"
"446","18","Maruthi Nagar"
"447","18","St. Thomas Town"
"448","18","Yeshwantpur"
"449","19","Race Course Road"
"450","19","Malleshwaram"
"451","19","Mysore Road"
"452","19","Sankey Road"
"453","19","Sadashiv Nagar"
"454","19","Rajajinagar"
"455","19","Seshadripuram"
"456","19","Rajarajeshwari Nagar"
"457","19","Vijay Nagar"
"458","19","Basaveshwara Nagar"
"459","19","Gandhi Nagar"
"460","19","Magadi Road"
"461","19","Majestic"
"462","19","Kengeri"
"463","19","Nagarbhavi"
"464","19","Mahalakshmipuram"
"465","19","Tumkur Road"
"466","19","Bidadi"
"467","19","Vidyaranyapura"
"468","7","Sector 30"
"469","7","32nd Milestone"
"470","7","Cyber City"
"471","1","Anand Lok"
"472","7","Sector 49"
"473","22","Abhiramapuram"
"474","22","Alwarpet"
"475","22","Chepauk"
"476","22","Chetpet"
"477","22","Chintadripet"
"478","22","Choolaimedu"
"479","22","Egmore"
"480","22","George Town"
"481","22","Gopalapuram"
"482","22","Kilpauk"
"483","22","Kodambakkam"
"484","22","Kotturpuram"
"485","22","Mahalingapuram"
"486","22","Mandavelli"
"487","22","Mylapore"
"488","22","Nandanam"
"489","22","Nungambakkam"
"490","22","Park Town"
"491","22","Parrys"
"492","22","Periamet"
"493","22","Pudupet"
"494","22","Purasavakkam"
"495","22","R.A. Puram"
"496","22","Royapettah"
"497","22","Santhome"
"498","22","Teynampet"
"499","22","Thousand Lights"
"500","22","Triplicane"
"501","22","Vepery"
"502","23","Kolathur"
"503","23","Madhavaram"
"504","23","Minjur"
"505","23","Perambur"
"506","23","Red Hills"
"507","23","Royapuram"
"508","23","Shenoy Nagar"
"509","23","Sowcarpet"
"510","23","Tiruvottiyur"
"511","23","Tondiarpet"
"512","23","Vyasarpadi"
"513","23","Washermanpet"
"514","24","Adambakkam"
"515","24","Adyar"
"516","24","Alandur"
"517","24","Ashok Nagar"
"518","24","Besant Nagar"
"519","24","Chitlapakkam"
"520","24","Chromepet"
"521","24","East Coast Road"
"522","24","Ekkattuthangal"
"523","24","Gowrivakkam"
"524","24","GST Road"
"525","24","Guindy"
"526","24","Indira Nagar"
"527","24","Injambakkam"
"528","24","Kanathur"
"529","24","Kandanchavadi"
"530","24","Karapakkam"
"531","24","Keelkattalai"
"532","24","KK Nagar"
"533","24","Kottivakkam"
"534","24","Madipakkam"
"535","24","Mahabalipuram"
"536","24","Manapakkam"
"537","24","Medavakkam"
"538","24","Meenambakkam"
"539","24","MRC Nagar"
"540","24","Muttukadu"
"541","24","Nanganallur"
"542","24","Navalur"
"543","24","Neelankarai"
"544","24","Padur"
"545","24","Palavakkam"
"546","24","Pallavaram"
"547","24","Pallikaranai"
"548","24","Pammal"
"549","24","Perungalathur"
"550","24","Perungudi"
"551","24","Saidapet"
"552","24","Selaiyur"
"553","24","Semmencherry"
"554","24","Sholinganallur"
"555","24","Siruseri"
"556","24","St. Thomas Mount"
"557","24","Tambaram East"
"558","24","Tharamani"
"559","24","Thiruvanmiyur"
"560","24","Thoraipakkam"
"561","24","Thyagaraya Nagar"
"562","24","Vandalur"
"563","24","Velachery"
"564","24","Vettuvankeni"
"565","24","West Mambalam"
